id,compound_id,food_id,orig_source_id,orig_content,orig_unit,preparation_type,standard_content
221a2e88-92a8-11ee-8750-0242ac1c000c,574,1bb65cce-92a8-11ee-8750-0242ac1c000c,41,0.148,mg/100g,raw,0.148
221a42b0-92a8-11ee-8750-0242ac1c000c,474,1bb65cce-92a8-11ee-8750-0242ac1c000c,238,75.0,mg/100g,raw,75.0
221a54b2-92a8-11ee-8750-0242ac1c000c,556,1bb65cce-92a8-11ee-8750-0242ac1c000c,248,130.0,mg/100g,raw,130.0
221a65e2-92a8-11ee-8750-0242ac1c000c,484,1bb65cce-92a8-11ee-8750-0242ac1c000c,251,60.0,mg/100g,raw,60.0
221a7802-92a8-11ee-8750-0242ac1c000c,570,1bb65cce-92a8-11ee-8750-0242ac1c000c,252,120.0,mg/100g,raw,120.0
221a89fa-92a8-11ee-8750-0242ac1c000c,753,1bb65cce-92a8-11ee-8750-0242ac1c000c,11,0.0,mg/100g,raw,0.0
221a9b2a-92a8-11ee-8750-0242ac1c000c,565,1bb65cce-92a8-11ee-8750-0242ac1c000c,26,0.0,α-TE,raw,0.0
221aadea-92a8-11ee-8750-0242ac1c000c,565,1bb65cce-92a8-11ee-8750-0242ac1c000c,27,0.0,mg/100g,raw,0.0
221abf74-92a8-11ee-8750-0242ac1c000c,574,1bb65cce-92a8-11ee-8750-0242ac1c000c,41,0.072,mg/100g,raw,0.072
221ad158-92a8-11ee-8750-0242ac1c000c,474,1bb65cce-92a8-11ee-8750-0242ac1c000c,238,100.0,mg/100g,raw,100.0
221ae33c-92a8-11ee-8750-0242ac1c000c,556,1bb65cce-92a8-11ee-8750-0242ac1c000c,248,170.0,mg/100g,raw,170.0
221af548-92a8-11ee-8750-0242ac1c000c,484,1bb65cce-92a8-11ee-8750-0242ac1c000c,251,81.0,mg/100g,raw,81.0
221b06aa-92a8-11ee-8750-0242ac1c000c,570,1bb65cce-92a8-11ee-8750-0242ac1c000c,252,150.0,mg/100g,raw,150.0
221b18a2-92a8-11ee-8750-0242ac1c000c,753,1bb7774e-92a8-11ee-8750-0242ac1c000c,11,0.0,mg/100g,raw,0.0
221b2ae0-92a8-11ee-8750-0242ac1c000c,565,1bb7774e-92a8-11ee-8750-0242ac1c000c,26,0.03,α-TE,raw,0.03
